chinese,english
交易，谈判,bargain
软泥的,oozy
乐观的,optimistic
乐观的人,optimist
乐观主义,optimism
悲观主义,pessimism
悲观的,pessimistic
悲观的人,pessimist
救护车,ambulance
回顾，回望，回溯,retrospect
障碍绊脚石,obstacle
选票,ballot
肚子（口）,belly
灯泡，植物的球茎,bulb
一大堆的，体积庞大的,bulk
悲剧的,tragic
软木塞,cork
盘子，碟子,plate
芯片，碎片,chip
食物储藏柜,larder
生物的,biology
重击，打败,smash
丰富充裕的,abundant
n丰富，充裕,abundance
不必要的，冗余的,redundant
淹没的,inundate
n泛滥，淹没,inundation
裁员，冗员,redundancy
和谐一致，和睦,concord
不和，纷争,discord
和平条约，协议,accord
无棱两可的，不确定的，不明确的,ambiguous
笨重的，庞大的巨大的,immense
灿烂辉煌的,splendid
金链花,laburnum
金鱼草,snapdragon
可喜的,gratifying
怀敌意的，敌对的,hostile
胆怯害羞的，懦弱的,timid
期待，期望,expectation
安全，牢固稳妥的,secured
逐渐地,gradually
驱散，驱逐,dispel
n繁荣兴旺,prosperity
正在前往,be on its way to
我的想法是,here is my thought
大使,ambassador
n无棱两可，不明确,ambiguity
焦急的，忧虑的,anxious
决定性的,conclusive
根据。。。依照。。。按照。。。,according to
相应地，因此,accordingly
心脏病学家,cardiologist
光秃秃,bare
光泽的黄铜球形把手,shiny yellow brass knob
管形大厅,tube-shaped hall
经过装饰的墙,panelled walls
地毯,carpeted
擦亮，优美圆滑的,polished
挂钉挂钩,pegs
公平地,fairly
笔直的,straight
地窖,cellar
衣柜,wardrobes
通道走廊,passage
草地牧场,meadows
向下倾斜的,sloping down
富有,well-to-do
认为,considered
受尊敬的,respectable
尊敬,respect
特别的,particular
稀有,rare
非常多，大量,abound
波动起伏，呈波浪的,undulate
大使馆,embassy
倾向,inclined
鞋底,soles
厚的，粗大的,thick
卷曲，卷毛的,curly
逗笑的,fruity
当今,nowadays
秃顶，秃头,bald
最重要的主要的基本的,cardinal
地区,neighbourhood
登上，踏上,tread
钝的,blunt
诚恳，热诚的，亲切友好的,cordial
按照或依据某事物,accordance
浮躁笨拙的,bludering
同盟国,allies
与结盟,ally to
合金,alloy
集合起来，大型集会,rally
烟草,tobacco
睡觉呼噜声，咕哝着说,grunt
缨穗,tassel
苍白的，使苍白的，栅栏，范围，前哨,pale
席子，垫子,mat
整洁的，干净的，灵巧的，利索的,neatly
巨大的庞大的,enormous
凹痕，削弱,dent
司康饼,scones
涂牛油的，黄油的,buttered
改变更改变更,alter
间隔交替轮流,alternate
可替代的，可供选择的,alternative
生活方式,way of life
邹眉头,frowning
傲慢，目中无人的,haughty
使迷惑,bewilder
外星人，陌生的,alien
使某人疏远或冷淡，离间某人,alienate
灶台，炉床，壁炉地面,hearth
喘气，喘息喘气，气喘吁吁的说,gasp
缘由理由,sake
闲逛流浪,wandering
背带吊带,braces
固定不动的，确定地,immovably
显然地，表面上似乎,apparently
繁荣兴旺的,prosperous
刺,stick
边缘,brim
阴凉的可疑的不可靠的,shady
神经,nerve
下巴,chin
喉咙咽喉,throat
手掌,palm
指甲,nail
拳头,fist
手背,back
手腕,wrist
骷髅骨骼,skeleton
大腿,thigh
膝盖,knee
小腿,shank
眼眉,eyebrow
痣,mole
口腔,cavity
舌头,tongue
络腮胡,whiskers
手肘,elbow
肩膀,shoulder
腰,waist
坑，井，胸口,pit
关节,joint
脊椎,backbone
胸部,chest
臀部,hip
屁股,bottom
胃,stomach
腹部（医）,abdomen
酒窝,dimple
肚脐,navel
动脉,artery
食管,gullet
肝脏,liver
脾,spleen
申请者,applicant
应用，运用，对。。。适用,apply to
静脉,vein
家用电器,appliance
应用的，实用的,applied
adj人造的，人工的，虚假造作的,artificial
涂，抹,apply
adj奸诈的，诡诈的，狡猾的,artful
手工艺，行业,craft
n毛细血管,capillary
n胰腺,pancreas
脊髓,spinal marrow
估计，估算,estimating
限制，约束,restrict
可适用，合适，适当,applicable to
刮，挖,scrape
在。。。旁边,alongside
一架载有。。。的客机,an airplane carrying
81人当中的5人,five of eighty-one people
基本根本地,fundamentally
尽管,despite
接近,approach
合适的,appropriate
n例外,exception
生产,produce
柔韧的,flexible
事发（撞击）时,at the time of the crash
坠落,came down
附近的山区,mountainous area near
已被确认为,was indentified as
电气故障,electrical failure
宣告进入紧急状态,declared an emergency
耗尽它所有的。。。,used up all it's
受责备,on the mat
再者,into the bargain
排除。。。的可能,rule out the possibillity that
谨慎保守的,conservative
内脏,internal organs
血管,blood vessel
肺,lung
肛门,anus
肾,kidney
小肠,small intestine
大肠,large intestine
过奖了,don't flatter me
芹菜,celery
手上臂,upper arm
胡子,beard
大白菜,chinese cabbage
不会吧,you don't say
辣椒,chilli
不要泄露秘密,don't spill the beans
用手指着的山姆大叔,pointing uncle sam
膀胱,bladder
尿道,urine
黄瓜,cucumber
茄子,eggplant
萝卜,radish
南瓜,pumpkin
别逼我,don't push me
吵什么,what is the fuss
还没睡啊,still up
别让我失望,don't let me down
别生我气,don't take ill of me
停止！,drop it
你真棒！,how big of you
呸，胡说，混蛋,nuts
说话注意点,watch your mouth
曾几何时，曾经,there was a time
家喻户晓,become household
有急事吗,any urgent thing
别太过分了,don't over do it
这让。。。,meant that
欢欣鼓舞,joyful celebrations
省省吧,cut it out
酱油,soy sauce
你个混蛋，废物,you are a jerk
帮帮我,help me out
各处，处处,throughout
亲切和蔼的，高尚雅致的，（语气助词）哎呀,gracious
宝贝，宝贵,precious
假发,hairpiece
一定有问题,there is gotta be something wrong
重蹈某人覆辙,go through what someone went through
他们几乎不知道,they scarcely knew
原来,it turns out
它究竟是,whether it turns out
不算,this is not even
学校饭堂，自助餐厅,cafeteria
发现，意识到,realized
而不是,instead of
谁稀罕,who wants
搞明白了吗,can you dig it
别捏造事实,don't make up a story
害怕做某事,get cold feet
我洗耳恭听,i am all ears
让我们先把它搁一边,let's bag it
丧失理智,lose head
他真让人讨厌,he is the pain on neck
味精,monosodium glutamate
抓,grabbed
伸手,reached down
离奇怪异,weird
拉出,pull out
绑在,tied around
搬动某人的东西,move one's stuff
这没什么好说的,there is nothing to tell
鼓舞人心，灵感,inspiration
强烈的渴望,aspiration
食用醋,vinegar
掌管,take charge
接管,take over
郁金香,tulip
受到鼓舞,being inspired
前辈，上一代人,previous generations
运动员,athletes
驼背,hump
粉笔,chalk
葱,chive
母马,mare
小牛,calf
甜菜,beet
油菜,rape
菠菜,spinach
喂养，供给,feed
这个可以,this might
（古英语）是的,aye
我帮你泡杯咖啡,let me get you some coffee
大陆的原住民,dwellers of the continent
叉角羚,pronghorn
不平凡，不寻常,extraordinary
太可惜，太遗憾了,what a pity
保持晦气（其中某词意思 朦胧的，烟雾弥漫的，黑暗的）,be murky
死抓不放（其中某词意思 视线转向，注视）,keep fixating
苍蝇,fly
奉献,dedication
护理人员,paramedic
慈善，慈善机构,charity
昆虫,insect
菊花,chrysanthemum
连续敲打,beat against
有毒的,poisonous
收回，撤销,take back
记下，拿下,take down
起飞，离开,take off
蚊子,mosquito
蝎子,scorpion
蜈蚣,centipede
山茶花,camellia
康乃馨,carnation
水仙,daffodil
你觉得怎么样,what do you say
发生,take place
开始从事,take up
参加参与,take part in
风信子,hyacinth
牡丹,peony
雏菊,daisy
第一步，首创精神，主动权，创世的，初步的，自发的,initiative
为纪念,to mark
志愿者，自行生长的植物，志愿的，自行生长的,volunteer
他们做的事却鼓舞着我,inspire me with the work they do
肉汁肉汤,gravy
蟑螂,cockroach blackbeetle
甲壳虫,beetle
公鸡,cock
翘起竖起,cock
冒险（带有投机的意思）,take a chance
赞助人,patron
抵制，阻止,resist
抵挡，反抗,resist
制服我,pin me down
忍住，按捺,resist
我把整块蛋糕给吃了,i finished the cake
抵挡的，对抗的，抗拒的，有阻力的,resistant
谦虚的，端庄的，适度的,modest
规模不大的,modest in size
诱惑,temptation
带走，拿走,take away
我很想见你,i am dying to see you
别耍花招,nothing tricky
书面诽谤,libel
拆开,take apart
扮演,play the role
迫使,drive
流言，造谣，口头的诽谤,slander
某人送的礼物,a present from sb.
坚持，执着于,persist in
兰花,orchid
你今天看来不对劲,you don't seem to be quite yourself today
扫荡,wipe out
不公正,injustice
无私的奉献,selfless devotion
人类学家,anthropologist
